fid,id,nb_points,x,y,h,lat,lon,z,gnd_elev,min_h,delta_h,avg_intensity,source,validity,is_outlier,is_windmill,windmill_h,windmill_id,windmill_status,windmill_stand,in_nrw,eTOD_found,eTOD_name,eTOD_z,eTOD_h,eTOD_descr,eTOD_dist,eTOD_x,eTOD_y,AIP_issue,ALS_issue,processed_on,ALS_comment,AIP_comment,free_comment,view_available,object_type,OSINT,duplicate,2D_embed_link,3D_embed_link
"279",03.02.47,"1910",406239.2633,5814655.5,173.8999997,52.47399741,7.619572919,209.58,35.68000031,60.30000122,113.5999985,134.8602094,3dm_32_406_5814_1_nw.laz,2019-02,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"289",01.01.48,"1582",319764.165,5578374.57,159.9249854,50.32986677,6.467577226,776.94,617.0150146,60.02498291,99.90000244,154.4405815,3dm_32_319_5578_1_nw.laz,2021-12,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"302",02.04.48,"5941",393301.18,5708356.25,100.5499991,51.51624033,7.462247167,183.84,83.29000092,60.30000122,40.24999786,153.487965,3dm_32_393_5708_1_nw.laz,2019-12,false,false,,,,,true,false,,,,,,,,true,false,2024/02/08 00:00:00,,missing,"with antenna,  building is above 100 m",true,building,https://de.wikipedia.org/wiki/RWE_Tower,false,https://dme-3.github.io/Obstacles-Map/embeds/2.4.48-2D.html,https://dme-3.github.io/Obstacles-Map/embeds/2.4.48-3D.html
"318",02.04.49,"437",396547.0042,5718237.449,100.2200003,51.60566922,7.506091434,156.29,56.06999969,60.10999969,40.11000061,152.1418764,3dm_32_396_5718_1_nw.laz,2019-12,false,false,,,,,true,false,,,,,,,,true,false,2024/02/08 00:00:00,,missing,,true,smoke stack,,false,https://dme-3.github.io/Obstacles-Map/embeds/2.4.49-2D.html,https://dme-3.github.io/Obstacles-Map/embeds/2.4.49-3D.html
"334",02.04.50,"6547",382844.9767,5715533.848,100.0599986,51.57868422,7.309211799,158.87,58.81000137,60.00000076,40.05999786,87.94577669,3dm_32_382_5715_1_nw.laz,2019-12,false,false,,,,,true,false,,,,,,,,true,false,2024/02/08 00:00:00,,missing,,true,electricity pylon,,false,https://dme-3.github.io/Obstacles-Map/embeds/2.4.50-2D.html,https://dme-3.github.io/Obstacles-Map/embeds/2.4.50-3D.html
"337",01.01.51,"1824",320763.5967,5578742.077,158.9925195,50.33347138,6.481430144,757.41,598.4174805,60.00499268,98.98752686,164.9095395,3dm_32_320_5578_1_nw.laz,2021-12,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"354",02.01.52,"939",362024.6405,5718194.564,149.6774957,51.59788946,7.007860513,221.51,71.83250427,60.20749695,89.46999878,1126.875399,3dm_32_362_5718_1_nw.laz,2020-02,false,false,,,,,true,false,,,,,,,,true,false,2024/02/08 00:00:00,,missing,,true,smoke stack,https://de.wikipedia.org/wiki/Kraftwerk_Scholven,false,https://dme-3.github.io/Obstacles-Map/embeds/2.1.52-2D.html,https://dme-3.github.io/Obstacles-Map/embeds/2.1.52-3D.html
"367",03.04.52,"2019",494275.7547,5700066.649,179.4500122,51.45175131,8.917613192,519.25,339.7999878,60.00999146,119.4400208,124.8969787,3dm_32_494_5700_1_nw.laz,2021-02,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"393",01.03.54,"6864",336480.0691,5651849.555,131.3100018,50.99502479,6.669832288,213.73,82.41999817,60.01000275,71.29999908,30647.26632,3dm_32_336_5651_1_nw.laz,2022-02,false,false,,,,,true,false,,,,,,,,false,true,2024/02/08 00:00:00,outlier / smoke,,,true,,,,https://dme-3.github.io/Obstacles-Map/embeds/1.3.54-2D.html,https://dme-3.github.io/Obstacles-Map/embeds/1.3.54-3D.html
"417",01.01.56,"930",321147.7833,5579109.483,157.1599707,50.33689183,6.486638329,733.94,576.7800293,60.01,97.1499707,150.8129032,3dm_32_321_5579_1_nw.laz,2021-12,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"433",01.01.57,"986",316675.7656,5579543.269,156.1400098,50.33941331,6.423639878,755.63,599.4899902,60.14000977,96,154.1064909,3dm_32_316_5579_1_nw.laz,2021-12,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
